ColorOfLevel	Level	MusicTitle	BmsID	OrgArtist	OrgArtistURL	ScoreSite	ScoreSiteURL	Comment
red	◎0	LOVE☆BEAM (orange summer mix) -NAGTHER　皿-	181385	honey princess	http://nothing.sh/~manbow/event/event.cgi?action=More_def&num=3&event=33	水橋なぐさ	http://ux.getuploader.com/nagsa_bms/download/1/sara_love_orange.zip	
red	◎4	Maharaja Trance -Full Mahara Jacket-	69452	Queen P.A.L	http://web.archive.org/web/20020817193500/http://isweb13.infoseek.co.jp/art/yuhno/poem/maharaja.exe	Ark-Z	http://www.geocities.jp/penmawashi2000/	2010 DPBMSタブにあります
red	◎4	Karakuri Plum _SCR ver	181704	Mitsu☆	http://www1.axfc.net/uploader/C/so/167738	MIND	http://sdrv.ms/1bZPbBm	
red	◎5	SMALL BEN [7KEY KASATHER◎]	181523	kireji	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=3&event=72	KASAKO	http://absolute.pv.land.to/turntable/upload.html	up0024.zip
red	◎5	locked girl@Scarlet-Devils Palace [ANOTHER]	96971	くっちー	http://page.freett.com/ykyk00/			
red	◎12	FIRST COMES SCRATCHING [ANOTHER]	81884	ETIA.	https://onedrive.live.com/?cid=D34BFC70CBE5E695&id=D34BFC70CBE5E695%21205&sc=documents&ppud=4			発狂BMS第2難易度表補完skydriveをお借りしました
red	◎12	Here we go！(TM edit) [KASATHER◎]	181706	Awesomeman	http://onedrive.live.com/?cid=3763CEB14F983372#cid=3763CEB14F983372&id=3763CEB14F983372!173	KASAKO	http://onedrive.live.com/?cid=3763CEB14F983372#cid=3763CEB14F983372&id=3763CEB14F983372!161	miamibass[KASATHER◎]
red	◎16	人　身　事　故　で　高　速　皿	180859	VjHEaRTs/yo.t/UN&CO/落合/UnK-now/37E	http://skydrive.live.com/?cid=40805CD20B6241C6&id=40805CD20B6241C6!194	赤い人	http://akred.web.fc2.com/ak-red-home.html	
red	◎16	FREEDOM DiVE [◎]	180860	xi	http://skydrive.live.com/?cid=FD93B4F2CB8CD95F&id=FD93B4F2CB8CD95F%21105	赤い人	http://akred.web.fc2.com/ak-red-home.html	発狂曲の保管
red	◎16	スクラッチマニア！このこゆびおれろ！ [WriStCUttEr]	179704	常夏ハニーパイ	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=212&event=65	ZEN-SOQ	http://www.nicovideo.jp/watch/sm21426592	
