ColorOfLevel	Level	MusicTitle	BmsID	OrgArtist	OrgArtistURL	ScoreSite	ScoreSiteURL	Comment
	◎1	reikon girl@Genso-kyo (NORMAL7)	120135	sun3	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS			
	◎1	run -SP NANATHER 皿-	81897	I-sm	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS	奈那樹	http://flowermaster.web.fc2.com/	
	◎1	初めだけ皿じゃない	98001	sa10	http://sound.jp/lobsak/	奈那樹	http://flowermaster.web.fc2.com/	
red	◎1	macaron (゜皿゜)	122826	Est	http://estish.nobody.jp/	彩雛	http://ayahina24.web.fc2.com/	
red	◎1	Blue. by Hand Made Socket(☆10)	18366			代理UP	http://sdrv.ms/1bZPbBm	代理UPに問題がありましたら削除いたします。
blue	◎1	HE is an Energizer(Pt.2) - SCRATCH++ -	107045	Mr.ABC	http://www.geocities.co.jp/HiTeens-Penguin/8342/	彩雛	http://ayahina24.web.fc2.com/	
	◎2	±０[7keys/HYPER]	140919	MNMr	http://www.bmsoffighters.net/bof2012/			
	◎2	Eastern Beats [NANA-皿]	80260	Nitrix	http://page.freett.com/nitrix/	奈那樹	http://flowermaster.web.fc2.com/	
	◎2	reikon girl@Genso-kyo (HYPER7)	120137	sun3	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS			
red	◎2	HE is an Energizer(Joker-S-)	122668	Mr.ABC	http://www.geocities.co.jp/HiTeens-Penguin/8342/	奈那樹	http://flowermaster.web.fc2.com/	
red	◎2	東の国のFLYING PAPARAZZI！[ hinather 皿 ]	115647	樋奈月みつ / obj:giselle	http://www.geocities.jp/bmsetc/	彩雛	http://ayahina24.web.fc2.com/	
	◎3	locked girl@Scarlet-Devils Palace [アグニレイディアンス]	115476	くっちー	http://page.freett.com/ykyk00/	奈那樹	http://flowermaster.web.fc2.com/	
	◎3	Red-rize B172 mix [yumether◎]	81481	wint	https://skydrive.live.com/?cid=ec29adccad727122&sc=documents&id=EC29ADCCAD727122%211127	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎3	SEMITHESIZER	93736	yosk!	http://dee.manbow.org/event/event.cgi?action=More_def&num=22&event=67			同梱☆11 皿のみ
	◎3	スクラッチマニア！このゆびとまれ！ [ANOTHER]	77986	常夏ハニーパイ	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=212&event=65			
	◎3	祭月 (皿祭)	132517	sa10	http://yaruki0.sakura.ne.jp/bms/ondanyugi4.html	わや	http://flowermaster.web.fc2.com/	第六回差分企画 5KEYS
red	◎3	HE is an Energizer(Joker-S+-)	123060	Mr.ABC	http://www.geocities.co.jp/HiTeens-Penguin/8342/	奈那樹	http://flowermaster.web.fc2.com/	
red	◎3	P8107 [yumether◎]	126849	ONOKEN	http://web.archive.org/web/20070111193502/www107.sakura.ne.jp/~onoken/htmls/bms.html	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
red	◎3	四十五年ノ雪桜 BBAnother	129208	kozato	http://16thnotes.ebb.jp/	BBA	http://flowermaster.web.fc2.com/	
	◎4	±０[7keys/ANOTHER]	140984	MNMr	http://www.bmsoffighters.net/bof2012/			
	◎4	Jack in the Vox (皿owatazy)	152229	MONO	http://clockxellox.sakura.ne.jp/A-1_3rd/rule.html	オワタリア	http://absolute.pv.land.to/bmsuploader.html	高難易度アップローダー皿up20
	◎4	wind-line(AYATHER)	64981	sun3	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	奈那樹	http://flowermaster.web.fc2.com/	　
	◎4	スプラッシュコード－０６ (｀皿´)	115648	ねこひめたん	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=3&event=36	彩雛	http://ayahina24.web.fc2.com/	　
	◎4	祭月 [yumether◎]	132474	sa10	http://yaruki0.sakura.ne.jp/bms/ondanyugi4.html	夢瑠	http://flowermaster.web.fc2.com/	第六回差分企画
	◎4	春の湊に [NANATIC ◎]	132473	GYAON	http://yaruki0.sakura.ne.jp/bms/ondanyugi4.html	奈那樹	http://flowermaster.web.fc2.com/	第六回差分企画
red	◎4	Fastraffic　[｀皿´]	125325	HOUJIROU	http://houjirou.at-ninja.jp/	彩雛	http://ayahina24.web.fc2.com/	
red	◎4	皿投げプリンセス[HYPER]	158213	お下げ	http://www.geocities.jp/dsks5456/osg.html			
	◎5	<('ヮ')>	77091	Yamajet	http://www.yamajet.com/	アップローダー	http://absolute.pv.land.to/bmsuploader.html	その他up0133
	◎5	Ancient Memory H mix [yumether◎]	121440	sun3	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
	◎5	Lucky Like Star [MD]	175703	taqumi vs DG-P	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=40&event=83	奈那樹	http://flowermaster.web.fc2.com/	
	◎5	Magical Love Scratching BBAnother	122445	源屋 feat.ユスラ	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=86&event=36	BBA	http://flowermaster.web.fc2.com/	 
	◎5	reikon girl@Genso-kyo (ANOTHER7)	120219	sun3	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS			
	◎5	SEMITHESIZER	93674	yosk!	http://dee.manbow.org/event/event.cgi?action=More_def&num=22&event=67			同梱☆12 
	◎5	ting ting [yumether◎]	81551	wint	https://skydrive.live.com/?cid=ec29adccad727122&sc=documents&id=EC29ADCCAD727122%211127	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎6	Chinese Typhoon [台(^^)]	93921	sun3	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	U-KA*	http://flowermaster.web.fc2.com/	第3回差分企画
	◎6	NANI-KORE [7keys 皿Another]	116084	DENPA SAMPLER	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=148&event=74	赤い人	http://absolute.pv.land.to/bmsuploader.html	BOF系up130
	◎6	決戦！サルーイン -Final Battle with Saruin- [皿の雨]	119955	金ラメタキシード	http://lucifer.pussycat.jp/	奈那樹	http://flowermaster.web.fc2.com/	 
	◎6	断罪魔女 -Badhabh Cath- [断◎罪]	119056	gmtn.	http://cerebralmuddystream.nekokan.dyndns.info/betoo/?mode=datail&no=31	奈那樹	http://flowermaster.web.fc2.com/	 
	◎6	秩序の秋桜 [皿-Normal-]	112159	くっちー	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=111&event=74			 
red	◎6	Love & Justice [RIETHER]	175778	フロン / ラズベリル	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=227&event=65	RIE.	http://skydrive.live.com/redir?resid=2A6807F516FB75E8!195&authkey=!ABQz3h3Pvz4LOzo&ithint=file%2c.zip	
red	◎6	Yummy Dancefloor!! [SC]	168825	BOF2013より	http://manbow.nothing.sh/event/event.cgi?action=List_def&event=88			
red	◎6	Into the sunset [HYPER]	7359	keyc	http://www001.upp.so-net.ne.jp/keyc/	代理UP	http://sdrv.ms/1bZPbBm	代理UPに問題がありましたら削除いたします。
red	◎6	squartatrice -あたしって、ほんと皿-	125765	美樹さやか vs. 美樹さやか (fw. 美樹さやか) BGA ： 美樹さやか	http://dee.manbow.org/event/event.cgi?action=More_def&num=99&event=74	彩雛	http://ayahina24.web.fc2.com/	
	◎7	Ophelia [misther◎]	133543	Lime	http://lime0836.nomaki.jp/lookatme.html	みすとん	http://absolute.pv.land.to/bmsuploader.html	皿譜面up16
	◎7	Strawberry Crisis!! -苺皿-	107196	チャチャ	http://www.geocities.jp/chacha_yhk1219/	奈那樹	http://flowermaster.web.fc2.com/	 
	◎8	Angelic layer [^皿^]	115652	SHIKI	http://shiki2.sakura.ne.jp/	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎8	SAMBISTA [皿]	77283	DOT96	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=96&event=54	アップローダー	http://absolute.pv.land.to/uploader/upload.html	汎用ロダup1307 
blue	◎8	God In Love -Hardcore remix-(ポロロッカ)	79604	sun3	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	奈那樹	http://flowermaster.web.fc2.com/	
red	◎8	モリオンの姫 [yumether◎]	77698	wa.	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=12&event=60	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
red	◎8	rainy beauty [yumether]	77002	Rabbit Bat	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=159&event=60	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
	◎9	ヒマワリの丘 -Sunny Wing Mix- Core[向日葵の皿]	76732	ねこみみ魔法使い	http://nekomimi.name/	奈那樹	http://flowermaster.web.fc2.com/	
red	◎9	Koishi ～Closed EyEs [SCRACH]	120511	くっちー	http://page.freett.com/ykyk00/	彩雛	http://ayahina24.web.fc2.com/	
	◎10	<('ヮ')> 灼熱のカーニバル	77257	Yamajet	http://www.yamajet.com/	アップローダー	http://absolute.pv.land.to/bmsuploader.html	その他up0133
	◎10	FIRST COMES SCRATCHING [皿]	115646	ETIA.	http://3t1a.web.fc2.com/bms.html	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎10	水晶世界 ～Fracture～ [yumether◎]	80791	celas	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=44&event=65	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
red	◎10	Happico 皿 Happico	128473	発狂BMS第2難易度表skydrive補完	https://skydrive.live.com/?cid=D34BFC70CBE5E695&id=D34BFC70CBE5E695%21205&sc=documents	しらいし	http://www1.axfc.net/uploader/Li/so/128884	
red	◎10	Lang Tone	84321	ルゼ	http://www.luzeria.net/?p=387	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
	◎11	Ancient Memory A mix [yumether◎]	121441	sun3	http://cid-578814acc2bd5a74.skydrive.live.com/browse.aspx/.Public/BMS	夢瑠	http://yumerusabun.web.fc2.com/nue.html	
	◎11	CHASER [^皿^]	77352	SHIKI	http://3t1a.web.fc2.com/	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎11	Mr.Burning Prince [◎]	107112	xenothium	http://nekokan.dyndns.info/~pupuly/bms/view.cgi?id=74&section=orig	奈那樹	http://flowermaster.web.fc2.com/	 
	◎12	Cowardly Clime [yumether◎]	105201	rider	http://kamineko.sakura.ne.jp/index.html	夢瑠	http://flowermaster.web.fc2.com/	第4回差分企画 
	◎12	Cross breed(NANATHER 皿)	76979	sun3 vs EXCALIpUR	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=114&event=60	奈那樹	http://flowermaster.web.fc2.com/	 
	◎12	VALLISTA [yumether◎]	115414	削除	http://manbow.nothing.sh/event/event.cgi?action=List_def&event=74	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎13	clutch [皿ANOTHER]	135739	ルゼ	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=6&event=80	赤い人	http://akred.web.fc2.com/ak-red.html	 
	◎13	God In Love -Hardcore remix-(ポロロロロロロロロッカ)	79605	sun3	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	奈那樹	http://flowermaster.web.fc2.com/	 
	◎14	End Time A⇒Side [MD]	176064	Cres	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=81&event=36	奈那樹	http://flowermaster.web.fc2.com/	
	◎14	PEACE BREAKER[SCRACH]	120338	xi & MONO	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	彩雛	http://ayahina24.web.fc2.com/	 
	◎15	DISCHARGE RUSH[S_EASY]	84358	ETIA.	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=2&event=66	お下げ	http://www.geocities.jp/dsks5456/index.html	★★3
	◎15	ＤＱⅢ　Battle -Scratch-	95683	sun3	http://web.archive.org/web/20070120103559/http://www.ayamenet.com/music/bmsdata/dq3bt.lzh	バラモスゾンビ	http://absolute.pv.land.to/bmsuploader.html	皿up0003
	◎15	PEACE BREAKER[SCRACH EXTEND]	121098	xi & MONO	https://skydrive.live.com/?cid=578814acc2bd5a74&id=578814ACC2BD5A74%21134#cid=578814ACC2BD5A74&id=578814ACC2BD5A74%21140	彩雛	http://ayahina24.web.fc2.com/	 
	◎15	"Run,Curry,Run[辛皿]"	120121	Kei Izumi	http://manbow.nothing.sh/event/event.cgi?action=List_def&event=75	夢瑠	http://yumerusabun.web.fc2.com/nue.html	 
	◎15	Shade of Gloria [真紅の栄光]	176586	tcheb	http://manbow.nothing.sh/event/event.cgi?action=More_def&num=82&event=88	Gloria	http://flowermaster.web.fc2.com/	差分-奈那樹から
blue	◎15	ワルツ第4番ロ短調 -皿狼のワルツ-	163017	nmk	http://miohosina.moe.hm/bms/dl/nmk_momi.zip	手遅兄弟[皿]	http://www.nicovideo.jp/watch/sm19952961	
